ID,Name,Form,Level-up moves,Tm compatibility
318,Carvanha, ,1-MOVE_BITE | 1-MOVE_ENDURE | 1-MOVE_FOCUS_ENERGY | 4-MOVE_WATER_PULSE | 7-MOVE_SWIFT | 11-MOVE_SCARY_FACE | 14-MOVE_AQUA_JET | 16-MOVE_ICE_FANG | 18-MOVE_POISON_FANG | 20-MOVE_ZEN_HEADBUTT | 23-MOVE_BRINE | 26-MOVE_SLASH | 26-MOVE_NIGHT_SLASH | 29-MOVE_DESTINY_BOND | 32-MOVE_ASSURANCE | 36-MOVE_BUBBLE_BEAM | 40-MOVE_PSYCHIC_FANGS | 44-MOVE_AGILITY | 48-MOVE_CRUNCH | 52-MOVE_SKULL_BASH | 56-MOVE_HYDRO_PUMP | 60-MOVE_DOUBLE_EDGE,TM51-MOVE_WAVE_CRASH
319,Sharpedo, ,1-MOVE_BITE | 1-MOVE_ENDURE | 1-MOVE_FOCUS_ENERGY | 4-MOVE_WATER_PULSE | 7-MOVE_SWIFT | 11-MOVE_SCARY_FACE | 14-MOVE_AQUA_JET | 16-MOVE_ICE_FANG | 18-MOVE_POISON_FANG | 20-MOVE_ZEN_HEADBUTT | 23-MOVE_BRINE | 26-MOVE_SLASH | 26-MOVE_NIGHT_SLASH | 29-MOVE_DESTINY_BOND | 30-MOVE_TAKE_DOWN | 34-MOVE_ASSURANCE | 38-MOVE_BUBBLE_BEAM | 42-MOVE_PSYCHIC_FANGS | 46-MOVE_AGILITY | 50-MOVE_CRUNCH | 54-MOVE_SKULL_BASH | 58-MOVE_HYDRO_PUMP | 62-MOVE_DOUBLE_EDGE | 66-MOVE_CLOSE_COMBAT | 70-MOVE_HEAD_SMASH,TM51-MOVE_WAVE_CRASH
320,Wailmer, ,1-MOVE_AQUA_RING | 1-MOVE_GROWL | 1-MOVE_SPLASH | 1-MOVE_WATER_GUN | 4-MOVE_MIST | 7-MOVE_DEFENSE_CURL | 10-MOVE_ROLLOUT | 13-MOVE_WHIRLPOOL | 16-MOVE_TICKLE | 19-MOVE_AMNESIA | 22-MOVE_WATER_PULSE | 25-MOVE_ZEN_HEADBUTT | 28-MOVE_BODY_SLAM | 32-MOVE_HEAVY_SLAM | 36-MOVE_BRINE | 40-MOVE_FINAL_GAMBIT | 44-MOVE_CURSE | 48-MOVE_HYPER_VOICE | 52-MOVE_SOAK | 56-MOVE_HYDRO_PUMP | 60-MOVE_FOLLOW_ME,
321,Wailord, ,1-MOVE_AQUA_RING | 1-MOVE_GROWL | 1-MOVE_SPLASH | 1-MOVE_WATER_GUN | 4-MOVE_MIST | 7-MOVE_DEFENSE_CURL | 10-MOVE_ROLLOUT | 13-MOVE_WHIRLPOOL | 16-MOVE_TICKLE | 19-MOVE_AMNESIA | 22-MOVE_WATER_PULSE | 25-MOVE_ZEN_HEADBUTT | 28-MOVE_BODY_SLAM | 32-MOVE_HEAVY_SLAM | 36-MOVE_BRINE | 40-MOVE_FINAL_GAMBIT | 40-MOVE_WIDE_GUARD | 45-MOVE_HYPER_VOICE | 50-MOVE_SOAK | 55-MOVE_HYDRO_PUMP | 60-MOVE_FOLLOW_ME | 65-MOVE_BOOMBURST | 70-MOVE_WATER_SPOUT,TM56-MOVE_WEATHER_BALL | TM60-MOVE_QUASH
322,Numel, ,1-MOVE_GROWL | 1-MOVE_TACKLE | 1-MOVE_FOCUS_ENERGY | 4-MOVE_MUD_SLAP | 7-MOVE_HEADBUTT | 10-MOVE_EMBER | 13-MOVE_SCARY_FACE | 16-MOVE_CURSE | 19-MOVE_BULLDOZE | 22-MOVE_FLAME_BURST | 25-MOVE_MUD_BOMB | 28-MOVE_LAVA_PLUME | 31-MOVE_AMNESIA | 33-MOVE_STOCKPILE | 34-MOVE_TAKE_DOWN | 37-MOVE_HEAVY_SLAM | 40-MOVE_YAWN | 43-MOVE_FLAMETHROWER | 46-MOVE_GROWTH | 49-MOVE_BODY_SLAM | 52-MOVE_ANCIENT_POWER | 55-MOVE_FISSURE | 58-MOVE_DOUBLE_EDGE | 61-MOVE_ERUPTION,TM87-MOVE_ROCK_CLIMB
323,Camerupt, ,1-MOVE_GROWL | 1-MOVE_TACKLE | 1-MOVE_FOCUS_ENERGY | 4-MOVE_MUD_SLAP | 7-MOVE_HEADBUTT | 10-MOVE_EMBER | 13-MOVE_SCARY_FACE | 16-MOVE_CURSE | 19-MOVE_BULLDOZE | 22-MOVE_FLAME_BURST | 25-MOVE_MUD_BOMB | 28-MOVE_LAVA_PLUME | 31-MOVE_AMNESIA | 33-MOVE_STOCKPILE | 35-MOVE_TAKE_DOWN | 39-MOVE_HEAVY_SLAM | 43-MOVE_YAWN | 46-MOVE_FLAMETHROWER | 50-MOVE_GROWTH | 54-MOVE_BODY_SLAM | 58-MOVE_ANCIENT_POWER | 62-MOVE_HEADLONG_RUSH | 66-MOVE_DOUBLE_EDGE | 70-MOVE_ERUPTION,TM66-MOVE_POWER_GEM | TM87-MOVE_ROCK_CLIMB
324,Torkoal, ,1-MOVE_EMBER | 1-MOVE_WITHDRAW | 1-MOVE_SMOG | 7-MOVE_RAPID_SPIN | 10-MOVE_FIRE_SPIN | 13-MOVE_SMOKESCREEN | 16-MOVE_FLAME_WHEEL | 19-MOVE_CURSE | 22-MOVE_BODY_SLAM | 25-MOVE_CLEAR_SMOG | 28-MOVE_PROTECT | 31-MOVE_SCORCHING_SANDS | 34-MOVE_AMNESIA | 34-MOVE_IRON_DEFENSE | 37-MOVE_YAWN | 41-MOVE_ANCIENT_POWER | 45-MOVE_LAVA_PLUME | 49-MOVE_SKULL_BASH | 53-MOVE_INFERNO | 57-MOVE_SHELL_SMASH | 61-MOVE_FISSURE | 65-MOVE_ERUPTION,TM48-MOVE_MYSTICAL_FIRE
325,Spoink, ,1-MOVE_SPLASH | 1-MOVE_PSYWAVE | 7-MOVE_ODOR_SLEUTH | 10-MOVE_PSYBEAM | 13-MOVE_PSYCH_UP | 16-MOVE_CONFUSE_RAY | 19-MOVE_ZEN_HEADBUTT | 22-MOVE_MIRROR_COAT | 22-MOVE_MAGIC_COAT | 25-MOVE_AMNESIA | 28-MOVE_FUTURE_SIGHT | 31-MOVE_LUCKY_CHANT | 34-MOVE_EXTRASENSORY | 37-MOVE_SIMPLE_BEAM | 40-MOVE_BOUNCE | 43-MOVE_PSYCHIC | 46-MOVE_TRICK | 49-MOVE_WHIRLWIND | 52-MOVE_BOUNCE,
326,Grumpig, ,1-MOVE_SPLASH | 1-MOVE_PSYWAVE | 7-MOVE_ODOR_SLEUTH | 10-MOVE_PSYBEAM | 13-MOVE_PSYCH_UP | 16-MOVE_CONFUSE_RAY | 19-MOVE_ZEN_HEADBUTT | 22-MOVE_MIRROR_COAT | 22-MOVE_MAGIC_COAT | 25-MOVE_AMNESIA | 28-MOVE_FUTURE_SIGHT | 31-MOVE_LUCKY_CHANT | 32-MOVE_FOCUS_PUNCH | 36-MOVE_EXTRASENSORY | 40-MOVE_SIMPLE_BEAM | 44-MOVE_BOUNCE | 48-MOVE_PSYCHIC | 52-MOVE_TRICK | 56-MOVE_WHIRLWIND | 60-MOVE_BOUNCE | 64-MOVE_PSYSTRIKE,TM20-MOVE_TRI_ATTACK
327,Spinda, ,1-MOVE_DISABLE | 1-MOVE_RAPID_SPIN | 1-MOVE_TACKLE | 1-MOVE_COPYCAT | 7-MOVE_FEINT_ATTACK | 10-MOVE_HYPNOSIS | 13-MOVE_PSYBEAM | 16-MOVE_DIZZY_PUNCH | 19-MOVE_SUCKER_PUNCH | 22-MOVE_TEETER_DANCE | 25-MOVE_UPROAR | 28-MOVE_FLAIL | 31-MOVE_ZEN_HEADBUTT | 34-MOVE_PSYCH_UP | 37-MOVE_FAKE_OUT | 40-MOVE_TRICK_ROOM | 44-MOVE_WISH | 48-MOVE_DRAIN_PUNCH | 52-MOVE_DOUBLE_EDGE | 56-MOVE_HYPER_VOICE | 60-MOVE_BOOMBURST,
328,Trapinch, ,1-MOVE_ASTONISH | 1-MOVE_SAND_ATTACK | 1-MOVE_BITE | 4-MOVE_QUICK_ATTACK | 7-MOVE_MUD_SLAP | 10-MOVE_FLAIL | 13-MOVE_MUD_SHOT | 16-MOVE_BULLDOZE | 19-MOVE_BUG_BITE | 22-MOVE_ROCK_TOMB | 25-MOVE_CRUNCH | 28-MOVE_FURY_CUTTER | 30-MOVE_GUST | 33-MOVE_SIGNAL_BEAM | 36-MOVE_DIG | 39-MOVE_HIGH_HORSEPOWER | 42-MOVE_SCORCHING_SANDS | 45-MOVE_SANDSTORM | 48-MOVE_BODY_SLAM | 51-MOVE_HYPER_BEAM | 54-MOVE_FISSURE | 57-MOVE_DOUBLE_EDGE,TM76-MOVE_BUG_BUZZ
329,Vibrava, ,1-MOVE_ASTONISH | 1-MOVE_SAND_ATTACK | 1-MOVE_BITE | 4-MOVE_QUICK_ATTACK | 7-MOVE_MUD_SLAP | 10-MOVE_FLAIL | 13-MOVE_MUD_SHOT | 16-MOVE_SONIC_BOOM | 19-MOVE_BUG_BITE | 22-MOVE_TWISTER | 25-MOVE_CRUNCH | 28-MOVE_FURY_CUTTER | 30-MOVE_GUST | 31-MOVE_STRUGGLE_BUG | 33-MOVE_UPROAR | 36-MOVE_DRAGON_BREATH | 39-MOVE_SIGNAL_BEAM | 42-MOVE_SCORCHING_SANDS | 45-MOVE_SANDSTORM | 48-MOVE_HYPER_VOICE | 51-MOVE_BUG_BUZZ | 54-MOVE_TAILWIND | 57-MOVE_DOUBLE_EDGE,TM58-MOVE_HURRICANE
330,Flygon, ,1-MOVE_HIGH_HORSEPOWER | 1-MOVE_ASTONISH | 1-MOVE_BITE | 4-MOVE_QUICK_ATTACK | 10-MOVE_FLAIL | 16-MOVE_SONIC_BOOM | 19-MOVE_BUG_BITE | 22-MOVE_TWISTER | 25-MOVE_CRUNCH | 28-MOVE_FURY_CUTTER | 30-MOVE_GUST | 31-MOVE_STRUGGLE_BUG | 33-MOVE_UPROAR | 36-MOVE_DRAGON_BREATH | 39-MOVE_SIGNAL_BEAM | 42-MOVE_SCORCHING_SANDS | 45-MOVE_SANDSTORM | 48-MOVE_HYPER_VOICE | 51-MOVE_BUG_BUZZ | 54-MOVE_TAILWIND | 55-MOVE_DRAGON_PULSE | 59-MOVE_LUNGE | 63-MOVE_DRAGON_DANCE | 67-MOVE_BOOMBURST | 71-MOVE_QUIVER_DANCE,TM58-MOVE_HURRICANE
331,Cacnea, ,1-MOVE_ABSORB | 1-MOVE_POISON_STING | 1-MOVE_SAND_ATTACK | 4-MOVE_COTTON_SPORE | 7-MOVE_GROWTH | 10-MOVE_MAGICAL_LEAF | 13-MOVE_LEECH_SEED | 16-MOVE_DISABLE | 18-MOVE_FEINT_ATTACK | 20-MOVE_SANDSTORM | 22-MOVE_BULLET_SEED | 24-MOVE_DESTINY_BOND | 26-MOVE_MUD_SHOT | 28-MOVE_SUCKER_PUNCH | 31-MOVE_ENERGY_BALL | 34-MOVE_PIN_MISSILE | 37-MOVE_DRAIN_PUNCH | 41-MOVE_NEEDLE_ARM | 45-MOVE_SYNTHESIS | 49-MOVE_SCORCHING_SANDS | 53-MOVE_FOUL_PLAY | 57-MOVE_NASTY_PLOT | 61-MOVE_FOCUS_PUNCH | 65-MOVE_SWITCHEROO,TM87-MOVE_ROCK_CLIMB
332,Cacturne, ,1-MOVE_ABSORB | 1-MOVE_POISON_STING | 1-MOVE_SAND_ATTACK | 4-MOVE_COTTON_SPORE | 7-MOVE_GROWTH | 10-MOVE_MAGICAL_LEAF | 13-MOVE_LEECH_SEED | 16-MOVE_DISABLE | 18-MOVE_FEINT_ATTACK | 20-MOVE_SANDSTORM | 22-MOVE_BULLET_SEED | 24-MOVE_DESTINY_BOND | 26-MOVE_MUD_SHOT | 28-MOVE_SUCKER_PUNCH | 31-MOVE_ENERGY_BALL | 32-MOVE_SEED_BOMB | 35-MOVE_PIN_MISSILE | 38-MOVE_DRAIN_PUNCH | 42-MOVE_NEEDLE_ARM | 46-MOVE_SYNTHESIS | 50-MOVE_SCORCHING_SANDS | 54-MOVE_FOUL_PLAY | 58-MOVE_NASTY_PLOT | 62-MOVE_FOCUS_PUNCH | 66-MOVE_SWITCHEROO,TM47-MOVE_LOW_SWEEP | TM87-MOVE_ROCK_CLIMB
333,Swablu, ,1-MOVE_GROWL | 1-MOVE_MIST | 1-MOVE_PECK | 4-MOVE_ASTONISH | 7-MOVE_REFRESH | 10-MOVE_FURY_ATTACK | 13-MOVE_FIRE_SPIN | 16-MOVE_HAZE | 19-MOVE_TWISTER | 22-MOVE_AGILITY | 25-MOVE_SING | 28-MOVE_AIR_CUTTER | 31-MOVE_DISARMING_VOICE | 34-MOVE_DUAL_WINGBEAT | 37-MOVE_COTTON_GUARD | 40-MOVE_TAKE_DOWN | 43-MOVE_FEATHER_DANCE | 46-MOVE_MOONBLAST | 49-MOVE_TAILWIND | 52-MOVE_DRAGON_RUSH | 55-MOVE_PERISH_SONG | 58-MOVE_SKY_ATTACK,
334,Altaria, ,,
335,Zangoose, ,1-MOVE_SCRATCH | 1-MOVE_LEER | 1-MOVE_FURY_SWIPES | 4-MOVE_QUICK_ATTACK | 7-MOVE_DOUBLE_KICK | 10-MOVE_DOUBLE_HIT | 13-MOVE_ENDEAVOR | 16-MOVE_REVENGE | 19-MOVE_SLASH | 19-MOVE_NIGHT_SLASH | 22-MOVE_DISABLE | 26-MOVE_METAL_CLAW | 30-MOVE_QUICK_GUARD | 34-MOVE_CRUSH_CLAW | 38-MOVE_PURSUIT | 42-MOVE_LUNGE | 46-MOVE_BELLY_DRUM | 50-MOVE_DETECT | 54-MOVE_CLOSE_COMBAT | 58-MOVE_DOUBLE_EDGE | 62-MOVE_LAST_RESORT | 66-MOVE_FINAL_GAMBIT,TM47-MOVE_LOW_SWEEP | TM62-MOVE_ACROBATICS | HM01-MOVE_CUT
336,Seviper, ,1-MOVE_BITE | 1-MOVE_LEER | 1-MOVE_LICK | 4-MOVE_SCREECH | 7-MOVE_SCARY_FACE | 10-MOVE_ASSURANCE | 13-MOVE_FURY_CUTTER | 16-MOVE_SUCKER_PUNCH | 19-MOVE_SLASH | 19-MOVE_NIGHT_SLASH | 22-MOVE_GLARE | 26-MOVE_HAZE | 30-MOVE_POISON_FANG | 34-MOVE_GASTRO_ACID | 38-MOVE_SWITCHEROO | 42-MOVE_LUNGE | 46-MOVE_COIL | 50-MOVE_POISON_TAIL | 54-MOVE_CRUNCH | 58-MOVE_POWER_WHIP | 62-MOVE_WRING_OUT | 66-MOVE_FINAL_GAMBIT,TM83-MOVE_WORK_UP | HM01-MOVE_CUT
337,Lunatone, ,1-MOVE_HARDEN | 1-MOVE_PSYWAVE | 1-MOVE_ROCK_THROW | 4-MOVE_CONFUSION | 7-MOVE_ROCK_TOMB | 10-MOVE_WONDER_ROOM | 14-MOVE_EMBARGO | 18-MOVE_HELPING_HAND | 22-MOVE_PAIN_SPLIT | 26-MOVE_PSYCHIC | 30-MOVE_HYPNOSIS | 34-MOVE_NASTY_PLOT | 38-MOVE_COSMIC_POWER | 42-MOVE_MOONBLAST | 46-MOVE_ALLY_SWITCH | 50-MOVE_MOONLIGHT | 54-MOVE_STORED_POWER | 58-MOVE_PSYSHIELD_BASH | 62-MOVE_NIGHT_DAZE | 66-MOVE_LUNAR_DANCE,
338,Solrock, ,1-MOVE_HARDEN | 1-MOVE_PSYWAVE | 1-MOVE_ROCK_THROW | 4-MOVE_CONFUSION | 7-MOVE_FIRE_SPIN | 10-MOVE_MAGIC_ROOM | 14-MOVE_EMBARGO | 18-MOVE_HELPING_HAND | 22-MOVE_PAIN_SPLIT | 26-MOVE_ZEN_HEADBUTT | 30-MOVE_HYPNOSIS | 34-MOVE_NASTY_PLOT | 38-MOVE_COSMIC_POWER | 42-MOVE_SOLAR_BEAM | 46-MOVE_ALLY_SWITCH | 50-MOVE_MORNING_SUN | 54-MOVE_STORED_POWER | 58-MOVE_PSYSHIELD_BASH | 62-MOVE_FLARE_BLITZ | 66-MOVE_ROCK_WRECKER,TM48-MOVE_MYSTICAL_FIRE | TM66-MOVE_POWER_GEM
339,Barboach, ,1-MOVE_MUD_SLAP | 1-MOVE_WATER_GUN | 1-MOVE_FLAIL | 4-MOVE_CURSE | 7-MOVE_WHIRLPOOL | 10-MOVE_AMNESIA | 13-MOVE_MUD_BOMB | 16-MOVE_WATER_GUN | 19-MOVE_HEADBUTT | 22-MOVE_MAGNITUDE | 25-MOVE_SPARK | 28-MOVE_BULLDOZE | 31-MOVE_FUTURE_SIGHT | 34-MOVE_TAKE_DOWN | 37-MOVE_BREAKING_SWIPE | 40-MOVE_ZEN_HEADBUTT | 43-MOVE_MUDDY_WATER | 46-MOVE_BOUNCE | 49-MOVE_DRAGON_DANCE | 52-MOVE_AQUA_TAIL | 55-MOVE_FISSURE | 58-MOVE_HYDRO_PUMP,TM51-MOVE_WAVE_CRASH
340,Whiscash, ,1-MOVE_MUD_SLAP | 1-MOVE_WATER_GUN | 1-MOVE_FLAIL | 4-MOVE_CURSE | 7-MOVE_WHIRLPOOL | 10-MOVE_AMNESIA | 13-MOVE_MUD_BOMB | 16-MOVE_WATER_GUN | 19-MOVE_HEADBUTT | 22-MOVE_MAGNITUDE | 25-MOVE_SPARK | 28-MOVE_BULLDOZE | 30-MOVE_BRINE | 32-MOVE_FUTURE_SIGHT | 35-MOVE_TAKE_DOWN | 38-MOVE_BREAKING_SWIPE | 41-MOVE_ZEN_HEADBUTT | 45-MOVE_MUDDY_WATER | 49-MOVE_BOUNCE | 53-MOVE_DRAGON_DANCE | 57-MOVE_AQUA_TAIL | 61-MOVE_FISSURE | 65-MOVE_HYDRO_PUMP,TM51-MOVE_WAVE_CRASH
341,Corphish, ,1-MOVE_HARDEN | 1-MOVE_LEER | 1-MOVE_WATER_GUN | 4-MOVE_DOUBLE_HIT | 8-MOVE_WATER_PULSE | 10-MOVE_METAL_CLAW | 13-MOVE_BUBBLE_BEAM | 16-MOVE_ANCIENT_POWER | 18-MOVE_KNOCK_OFF | 20-MOVE_RAZOR_SHELL | 23-MOVE_SPITE | 26-MOVE_CHIP_AWAY | 29-MOVE_SLASH | 29-MOVE_NIGHT_SLASH | 32-MOVE_ENDEAVOR | 35-MOVE_FURY_CUTTER | 38-MOVE_BODY_SLAM | 42-MOVE_AQUA_JET | 46-MOVE_CRUNCH | 50-MOVE_DRAGON_DANCE | 54-MOVE_CRABHAMMER | 58-MOVE_TRUMP_CARD | 62-MOVE_GUILLOTINE,
342,Crawdaunt, ,1-MOVE_HARDEN | 1-MOVE_LEER | 1-MOVE_WATER_GUN | 4-MOVE_DOUBLE_HIT | 8-MOVE_WATER_PULSE | 10-MOVE_METAL_CLAW | 13-MOVE_BUBBLE_BEAM | 16-MOVE_ANCIENT_POWER | 18-MOVE_KNOCK_OFF | 20-MOVE_RAZOR_SHELL | 23-MOVE_SPITE | 26-MOVE_CHIP_AWAY | 29-MOVE_SLASH | 29-MOVE_NIGHT_SLASH | 30-MOVE_SWITCHEROO | 33-MOVE_ENDEAVOR | 37-MOVE_FURY_CUTTER | 41-MOVE_BODY_SLAM | 45-MOVE_AQUA_JET | 49-MOVE_CRUNCH | 53-MOVE_DRAGON_DANCE | 57-MOVE_CRABHAMMER | 61-MOVE_TRUMP_CARD | 65-MOVE_GUILLOTINE,
343,Baltoy, ,1-MOVE_HARDEN | 1-MOVE_CONFUSION | 4-MOVE_RAPID_SPIN | 7-MOVE_MUD_SLAP | 10-MOVE_HEAL_BLOCK | 13-MOVE_ROCK_TOMB | 16-MOVE_PSYBEAM | 19-MOVE_ANCIENT_POWER | 22-MOVE_PSYSHIELD_BASH | 25-MOVE_COSMIC_POWER | 28-MOVE_SCORCHING_SANDS | 31-MOVE_SELF_DESTRUCT | 34-MOVE_POWER_TRICK | 37-MOVE_EXTRASENSORY | 40-MOVE_SANDSTORM | 43-MOVE_IMPRISON | 46-MOVE_TRICK_ROOM | 50-MOVE_EXPLOSION,
344,Claydol, ,1-MOVE_TELEPORT | 1-MOVE_GRAVITY | 1-MOVE_HARDEN | 1-MOVE_CONFUSION | 4-MOVE_RAPID_SPIN | 7-MOVE_MUD_SLAP | 10-MOVE_HEAL_BLOCK | 13-MOVE_ROCK_TOMB | 16-MOVE_PSYBEAM | 19-MOVE_ANCIENT_POWER | 22-MOVE_PSYSHIELD_BASH | 25-MOVE_COSMIC_POWER | 28-MOVE_SCORCHING_SANDS | 31-MOVE_SELF_DESTRUCT | 32-MOVE_HYPER_BEAM | 35-MOVE_POWER_TRICK | 39-MOVE_EXTRASENSORY | 43-MOVE_SANDSTORM | 47-MOVE_NASTY_PLOT | 51-MOVE_IMPRISON | 55-MOVE_TRICK_ROOM | 59-MOVE_EXPLOSION,TM20-MOVE_TRI_ATTACK | TM66-MOVE_POWER_GEM | HM02-MOVE_FLY
345,Lileep, ,1-MOVE_INGRAIN | 1-MOVE_ASTONISH | 5-MOVE_LEECH_SEED | 9-MOVE_INFESTATION | 13-MOVE_ACID | 17-MOVE_ANCIENT_POWER | 21-MOVE_BRINE | 25-MOVE_MEGA_DRAIN | 28-MOVE_MUD_SHOT | 31-MOVE_GASTRO_ACID | 34-MOVE_TICKLE | 37-MOVE_STRING_SHOT | 40-MOVE_SYNTHESIS | 43-MOVE_ENERGY_BALL | 46-MOVE_STOCKPILE | 46-MOVE_SPIT_UP | 46-MOVE_SWALLOW | 49-MOVE_RECOVER | 52-MOVE_WRING_OUT,
346,Cradily, ,1-MOVE_POWER_WHIP | 1-MOVE_PAIN_SPLIT | 1-MOVE_INGRAIN | 1-MOVE_ASTONISH | 5-MOVE_LEECH_SEED | 9-MOVE_INFESTATION | 13-MOVE_ACID | 17-MOVE_ANCIENT_POWER | 21-MOVE_BRINE | 25-MOVE_MEGA_DRAIN | 28-MOVE_MUD_SHOT | 30-MOVE_CONFUSE_RAY | 34-MOVE_GASTRO_ACID | 38-MOVE_TICKLE | 41-MOVE_STRING_SHOT | 45-MOVE_SYNTHESIS | 49-MOVE_ENERGY_BALL | 53-MOVE_STOCKPILE | 53-MOVE_SPIT_UP | 53-MOVE_SWALLOW | 57-MOVE_RECOVER | 61-MOVE_WRING_OUT,
347,Anorith, ,1-MOVE_HARDEN | 1-MOVE_WATER_GUN | 5-MOVE_SAND_ATTACK | 9-MOVE_IRON_DEFENSE | 13-MOVE_BRINE | 17-MOVE_RAPID_SPIN | 21-MOVE_BUG_BITE | 25-MOVE_METAL_CLAW | 28-MOVE_SLASH | 28-MOVE_NIGHT_SLASH | 31-MOVE_ROCK_BLAST | 34-MOVE_FURY_CUTTER | 37-MOVE_CURSE | 40-MOVE_LUNGE | 43-MOVE_AQUA_JET | 46-MOVE_CROSS_POISON | 49-MOVE_CRUSH_CLAW | 52-MOVE_STONE_EDGE,TM51-MOVE_WAVE_CRASH | TM76-MOVE_BUG_BUZZ | TM87-MOVE_ROCK_CLIMB
348,Armaldo, ,1-MOVE_HARDEN | 1-MOVE_WATER_GUN | 5-MOVE_SAND_ATTACK | 9-MOVE_IRON_DEFENSE | 13-MOVE_BRINE | 17-MOVE_RAPID_SPIN | 21-MOVE_BUG_BITE | 25-MOVE_METAL_CLAW | 28-MOVE_SLASH | 28-MOVE_NIGHT_SLASH | 30-MOVE_BODY_SLAM | 33-MOVE_ROCK_BLAST | 35-MOVE_FURY_CUTTER | 39-MOVE_CURSE | 43-MOVE_LUNGE | 47-MOVE_AQUA_JET | 51-MOVE_CROSS_POISON | 55-MOVE_CRUSH_CLAW | 59-MOVE_STONE_EDGE,TM51-MOVE_WAVE_CRASH | TM76-MOVE_BUG_BUZZ | TM87-MOVE_ROCK_CLIMB
349,Feebas, ,1-MOVE_SPLASH | 1-MOVE_TACKLE | 1-MOVE_FLAIL | 15-MOVE_WATER_PULSE,
350,Milotic, ,1-MOVE_REFRESH | 1-MOVE_MIRROR_COAT | 1-MOVE_TICKLE | 1-MOVE_WRAP | 4-MOVE_WHIRLPOOL | 7-MOVE_WATER_PULSE | 11-MOVE_DISARMING_VOICE | 14-MOVE_TWISTER | 17-MOVE_AQUA_RING | 21-MOVE_CAPTIVATE | 24-MOVE_DRAGON_TAIL | 27-MOVE_RECOVER | 31-MOVE_AQUA_TAIL | 34-MOVE_DRAGON_BREATH | 37-MOVE_SAFEGUARD | 41-MOVE_CONFUSE_RAY | 44-MOVE_BRINE | 47-MOVE_BREAKING_SWIPE | 50-MOVE_HYPNOSIS | 53-MOVE_HAZE | 56-MOVE_DRAGON_PULSE | 59-MOVE_COIL | 62-MOVE_HYDRO_PUMP,
351,Castform,Snowy Form,1-MOVE_AMNESIA | 1-MOVE_AVALANCHE | 1-MOVE_CLEAR_SMOG | 1-MOVE_COSMIC_POWER | 1-MOVE_DISABLE | 1-MOVE_FUTURE_SIGHT | 1-MOVE_GUARD_SWAP | 1-MOVE_HEX | 1-MOVE_OMINOUS_WIND | 1-MOVE_REFLECT_TYPE | 1-MOVE_TACKLE | 10-MOVE_WATER_GUN | 10-MOVE_EMBER | 10-MOVE_POWDER_SNOW | 15-MOVE_HEADBUTT | 20-MOVE_RAIN_DANCE | 20-MOVE_SUNNY_DAY | 20-MOVE_HAIL | 30-MOVE_WEATHER_BALL | 45-MOVE_HYDRO_PUMP | 45-MOVE_FIRE_BLAST | 45-MOVE_BLIZZARD | 50-MOVE_HURRICANE,TM20-MOVE_TRI_ATTACK | TM58-MOVE_HURRICANE
352,Kecleon, ,1-MOVE_DETECT | 1-MOVE_TRICK | 1-MOVE_ASTONISH | 1-MOVE_LICK | 1-MOVE_SCRATCH | 4-MOVE_BIND | 7-MOVE_SHADOW_SNEAK | 10-MOVE_FEINT | 13-MOVE_FURY_SWIPES | 16-MOVE_FEINT_ATTACK | 19-MOVE_PSYBEAM | 22-MOVE_SLASH | 25-MOVE_ANCIENT_POWER | 28-MOVE_FAKE_OUT | 32-MOVE_CAMOUFLAGE | 36-MOVE_SHADOW_CLAW | 40-MOVE_SCREECH | 44-MOVE_SUCKER_PUNCH | 48-MOVE_RECOVER | 52-MOVE_SUBSTITUTE | 56-MOVE_DOUBLE_EDGE | 60-MOVE_FOUL_PLAY,TM62-MOVE_ACROBATICS
353,Shuppet, ,1-MOVE_KNOCK_OFF | 1-MOVE_SCREECH | 1-MOVE_SPITE | 7-MOVE_NIGHT_SHADE | 10-MOVE_DISABLE | 13-MOVE_SHADOW_SNEAK | 16-MOVE_WILL_O_WISP | 19-MOVE_FEINT_ATTACK | 22-MOVE_OMINOUS_WIND | 25-MOVE_CURSE | 28-MOVE_HEX | 31-MOVE_EMBARGO | 34-MOVE_SUCKER_PUNCH | 37-MOVE_SNATCH | 40-MOVE_TRICK | 43-MOVE_GUNK_SHOT | 46-MOVE_GRUDGE | 50-MOVE_DESTINY_BOND,TM83-MOVE_WORK_UP
354,Banette, ,1-MOVE_SCREECH | 1-MOVE_SPITE | 7-MOVE_NIGHT_SHADE | 10-MOVE_DISABLE | 13-MOVE_SHADOW_SNEAK | 16-MOVE_WILL_O_WISP | 19-MOVE_FEINT_ATTACK | 22-MOVE_OMINOUS_WIND | 25-MOVE_CURSE | 28-MOVE_HEX | 31-MOVE_EMBARGO | 32-MOVE_SHADOW_CLAW | 35-MOVE_SUCKER_PUNCH | 39-MOVE_SNATCH | 43-MOVE_TRICK | 47-MOVE_SLASH | 51-MOVE_RAGING_FURY | 55-MOVE_GRUDGE | 59-MOVE_DESTINY_BOND | 63-MOVE_CRUSH_CLAW,TM01-MOVE_HONE_CLAWS | TM83-MOVE_WORK_UP | HM01-MOVE_CUT
